epoch,loss,lr,val_cm,train_cm,test_cm,val_accuracy,test_accuracy
72,0.07331169047392906,2.4894280619189404e-06,"[[895   2]
 [  0 841]]","[[1913   85]
 [  46 2010]]","[[677   6]
 [  2 681]]",99.8849252013809,99.41434846266472
73,0.07385889557190238,2.3649566588229932e-06,"[[895   2]
 [  4 837]]","[[1925   73]
 [  53 2003]]","[[683   0]
 [  3 680]]",99.6547756041427,99.78038067349927
74,0.09235184415592812,2.2467088258818436e-06,"[[896   1]
 [  0 841]]","[[1919   79]
 [  86 1970]]","[[683   0]
 [  2 681]]",99.94246260069045,99.85358711566617
75,0.07375832666002678,2.1343733845877514e-06,"[[896   1]
 [  8 833]]","[[1928   70]
 [  67 1989]]","[[683   0]
 [  5 678]]",99.48216340621404,99.63396778916545
76,0.08346276823431255,2.027654715358364e-06,"[[895   2]
 [  0 841]]","[[1925   73]
 [  72 1984]]","[[683   0]
 [  3 680]]",99.8849252013809,99.78038067349927
77,0.07605985106783922,1.9262719795904457e-06,"[[896   1]
 [  3 838]]","[[1926   72]
 [  68 1988]]","[[683   0]
 [  5 678]]",99.76985040276179,99.63396778916545
78,0.08184329475625417,1.8299583806109232e-06,"[[896   1]
 [  0 841]]","[[1905   93]
 [  56 2000]]","[[683   0]
 [  2 681]]",99.94246260069045,99.85358711566617
79,0.0722519097616896,1.738460461580377e-06,"[[895   2]
 [  1 840]]","[[1934   64]
 [  64 1992]]","[[681   2]
 [  2 681]]",99.82738780207134,99.70717423133236
80,0.08574400201905522,1.651537438501358e-06,"[[896   1]
 [  0 841]]","[[1923   75]
 [  69 1987]]","[[681   2]
 [  2 681]]",99.94246260069045,99.70717423133236
81,0.09446215417119674,1.5689605665762901e-06,"[[896   1]
 [  0 841]]","[[1904   94]
 [  87 1969]]","[[683   0]
 [  0 683]]",99.94246260069045,100.0
82,0.07629123049264315,1.4905125382474756e-06,"[[896   1]
 [  0 841]]","[[1930   68]
 [  68 1988]]","[[682   1]
 [  0 683]]",99.94246260069045,99.9267935578331
83,0.07327297644224018,1.4159869113351018e-06,"[[896   1]
 [  0 841]]","[[1918   80]
 [  61 1995]]","[[683   0]
 [  2 681]]",99.94246260069045,99.85358711566617
84,0.0744409897888545,1.3451875657683467e-06,"[[894   3]
 [  6 835]]","[[1921   77]
 [  67 1989]]","[[679   4]
 [  0 683]]",99.48216340621404,99.70717423133236
85,0.07501753856195136,1.2779281874799292e-06,"[[896   1]
 [  2 839]]","[[1924   74]
 [  63 1993]]","[[683   0]
 [  0 683]]",99.82738780207134,100.0
86,0.07569713695556855,1.2140317781059327e-06,"[[894   3]
 [  0 841]]","[[1920   78]
 [  65 1991]]","[[683   0]
 [  1 682]]",99.82738780207134,99.9267935578331
87,0.0728468409506604,1.153330189200636e-06,"[[890   7]
 [  0 841]]","[[1916   82]
 [  46 2010]]","[[675   8]
 [  0 683]]",99.59723820483315,99.41434846266472
88,0.08197356431628575,1.0956636797406041e-06,"[[896   1]
 [  1 840]]","[[1911   87]
 [  58 1998]]","[[683   0]
 [  3 680]]",99.8849252013809,99.78038067349927
